German,French
Ich,je
ist,est
ich,je
nicht,Pas
Sie,elle
du,tu
das,la
die,la
es,ce
und,et
der,la
zu,à
sie,tu
Das,Ce
ein,un 
in,dans
wir,nous
Du,Tu
mir,moi
mit,Avec
Was,Quoi
den,la
mich,moi
was,Quoi
auf,sur
dass,ce
er,il
eine,une
Es,Ce
hat,A
Wir,nous
Und,et
so,alors
sind,sommes
von,de
dich,tu
war,a été
haben,avoir
für,pour
Ja,Oui
hier,ici
an,sur
habe,ont
Er,Il
bin,un m
wie,comment
noch,toujours
dir,à toi
uns,nous
sich,lui-même
Die,la
nur,seulement 
einen,un
Nein,non
dem,au
ihn,lui
auch,aussi
hast,ont
sein,être
ihr,son
da,là
aus,dehors
kann,boîte
aber,mais
Aber,mais
schon,belle
wenn,si
wird,devient
um,autour de
Wie,Comme
als,comme
bist,êtes-vous
im,dans le
mal,fois
doch,encore
gut,Bien
meine,pense
jetzt,à présent
weiß,Blanc
Wenn,si
werden,sera
Der,De la
nach,après
ja,Oui
Oh,Oh
oder,ou
dann,alors
will,vouloir
mein,ma
mehr,Suite
keine,non
etwas,quelques
alles,tout
muss,aller à
immer,toujours
nichts,Rien
man,une
wieder,encore
bei,à
hab,ont
machen,Fabriquer
vor,avant de
Mann,Homme
ihm,lui
einem,un
tun,fais
zum,au
können,être capable
sagen,dire
werde,sera
denn,alors
Ist,est
Ein,UN
Warum,Pourquoi
einer,une
gehen,marche
sehen,voir
sehr,très
geht,se rend
alle,Tout le monde
über,au dessus
müssen,devoir
diese,cette
einfach,facile
euch,tu
des,de
nie,jamais
Also,Alors
Wo,Où
los,Allez
Zeit,temps
Ihnen,Leur
gibt,sommes
wirklich,vraiment
Hey,Hé
Danke,Merci
deine,le tiens
würde,aurait
soll,cible
Da,Là
hatte,aurait
Hier,ici
wissen,à savoir
bitte,De rien
viel,beaucoup de
Dann,alors
So,Alors
gesagt,a dit
Ihr,Son
am,au
kein,non
Komm,viens
Wer,qui
zurück,revenir
wurde,est devenu
In,Dans
wollte,voulait
Frau,Femme
Leben,la vie
wäre,aurait
wo,Où
damit,pour
Nicht,Pas
Gott,Dieu
Leute,personnes
kannst,boîte
heute,aujourd'hui
meinen,pense
dieser,cette
dein,ton
kommt,vient
kommen,viens
willst,vouloir
Na,N / A
wollen,vouloir
sicher,sécurisé
ganz,tout
Jetzt,à présent
Mein,ma
Mr,M
also,alors
zur,au
Hast,Ont
Gut,Bien
hätte,aurait
weil,car
tut,Est-ce que
Hallo,Salut
Okay,D'ACCORD
macht,Puissance
waren,étaient
bis,jusqu'à
Vielleicht,Peut-être
könnte,pourrait
Eine,Une
Bitte,S'il vous plaît
weg,une façon
seine,le sien
lassen,laisser
Vater,Père
gesehen,vu
Nun,alors
gerade,juste
Alles,Tout
glaube,croire
Tag,Jour
ab,une façon
Geld,argent
gemacht,a fait
nein,non
Sir,Monsieur
sollte,devrait
sagte,a dit
keinen,non
durch,à travers
zwei,deux
diesen,cette
passiert,passé
wohl,Probablement
vielleicht,peut-être
ihre,leur
Mutter,mère
reden,parler
anderen,les autres
dachte,pensait
daß,ce
möchte,voudrais
wirst,devenir
gehört,entendu
weißt,blanche
Keine,Non
raus,Dehors
Meine,Pense
paar,peu
besser,meilleur
ob,si
her,de
musst,devoir
Ordnung,Ordre
meiner,mien
klar,dégager
ihnen,leur
Los,Allez
diesem,cette
meinem,ma
lange,Long
Lass,Laisser
dieses,cette
helfen,aider
unsere,notre
Weg,chemin
selbst,même
Nur,Seulement
finden,Trouver
Mal,Fois
jemand,quelqu'un
denke,pense
Ach,Oh
Nacht,Nuit
genau,Je suis d'accord
gar,du tout
sagt,dit
Welt,Monde
Auf,sur
Mädchen,fille
ins,dans le
hin,là
vom,du
schön,Agréable
warum,Pourquoi
weiter,plus loin
Leid,Souffrance
gleich,même
wer,qui
Man,Une
ohne,sans pour autant
Menschen,personnes
deinen,le tiens
leid,Souffrance
Wieso,comment
dort,là
Als,comme
Hause,Maison
sollten,devrait
davon,à partir de ce
zusammen,ensemble
geben,donner
Ok,D'ACCORD
Hör,Écoute
machst,Fabriquer
Freund,ami
richtig,corriger
Angst,craindre
Bist,Êtes-vous
Tut,Fait
Mit,Avec
viele,de nombreux
sieht,voir
Haus,une maison
tot,morte
sollen,devoir
ganze,ensemble
andere,autre
getan,a fait
okay,D'ACCORD
rein,pur
Diese,Cette
Moment,moment
bleiben,rester
brauchen,avoir besoin
Weil,car
Kinder,enfants
unter,en dessous de
Arbeit,travailler
Für,Pour
Problem,problème
dafür,Par conséquent
Herr,Monsieur
Haben,Avoir
wegen,car
geht's,Est-il possible
liebe,aimer
genug,suffisant
dabei,inclus
bringen,apporter
Ihre,Son
ne,ne
gegen,contre
Weißt,Blanc
Sag,dire
schnell,rapidement
nun,bien
eines,une
brauche,besoin
Abend,soirée
hatten,avais
Jahre,Années
Mach,"Faire, construire"
Bruder,Frères
Sache,Question
hören,Ecoutez
komm,viens
Sohn,Fils
seit,puisque
Morgen,Matin
drei,Trois
steht,des stands
Scheiße,et mince
mag,Comme
sei,être
unser,notre
konnte,pourrait
habt,ont
Oder,ou
einmal,une fois que
heißt,appelé
OK,D'ACCORD
Willst,Vouloir
Kopf,tête
Hilfe,Aider
Familie,famille
Geh,Marche
Baby,nourrisson
Dich,Tu
Sind,Sommes
erst,première
fertig,achevé
gefunden,trouvé
seid,sommes
kam,est venu
nehmen,prendre
morgen,Matin
sprechen,parler
Mir,Moi
sofort,immédiatement
Kann,Boîte
Hat,A
Jahren,Années
Kind,enfant
seinen,le sien
Genau,Exactement
daran,pour lui
Junge,Jeune
Minuten,Minute
bevor,avant de
Stadt,ville
beim,au
sterben,mourir
warst,êtres
Recht,Droit
glauben,croire
Warte,Attendre
darüber,à propos de ça
deiner,le tiens
deinem,le tiens
Ende,Fin
He,Hé
Dinge,des choses
Namen,Des noms
wahr,vrai
Alle,Tout
allein,seul
Natürlich,Naturellement
töten,tuer
Nichts,rien
Wirklich,Pour de vrai
bekommen,pour obtenir
Männer,Hommes
vergessen,Oubliez
Doch,Encore
dazu,à
gab,a donné
später,plus tard
wusste,connaissait
Augen,Yeux
Dank,Grâce à
Freunde,copains
Jungs,les mecs
halten,donjon
warten,attendre
Glück,Bonheur                                                                                           
beide,tous les deux
gute,qualité
Dein,Ton
kennen,connaître
Deine,Le tiens
n,n
Hi,Salut
Dr,Dr
Auto,voiture
sage,Légende
gehe,aller
komme,viens
Dir,À toi
mache,Fabriquer
Von,De
Uhr,Regardez
sehe,voir
Teufel,Diable
sonst,Par ailleurs
Art,Gentil
gern,volontier
Liebe,aimer
jeden,tous
könnten,force
ihren,leur
Halt,Arrêt
Fall,Cas
Dad,Papa
Film,Film
bisschen,un peu
eigentlich,réellement
weit,loin
mach,Fabriquer
Gib,Donner
vorbei,plus de
verstehe,comprendre
danke,Merci
drin,là
Im,dans le
Name,Nom de famille
ganzen,entier
Musik,musique
würden,aurait
Tür,porte
verrückt,fou
solltest,devrait
denken,pense
Noch,toujours
dran,à ton tour
Sieh,Voir
lieber,plutôt
Den,La
leben,La vie
Guten,bien
Um,Autour de
darauf,là
Kein,Non
stimmt,Droit
Kerl,Mec
letzte,dernière
Job,travail
verloren,perdu
wurden,est devenu
kenne,connaître
Ahnung,Idée
seiner,le sien
Grund,raison
toll,Super
Bis,jusqu'à
Verdammt,Damné
bald,bientôt
bereit,prêt
all,Alles
jemanden,quelqu'un
hinter,Derrière
Schon,Agréable
Sehr,très
Hand,main
darf,peut
Dieser,Cette
Frauen,Femmes
Euch,Tu
Idee,idée
runter,vers le bas
Macht,Fait du
draußen,à l'extérieur
lang,long
Land,pays
lass,laisser
Typ,Taper
hätten,ont
egal,peu importe
arbeiten,travailler
spät,en retard
stehen,supporter
ok,D'ACCORD
Gute,Qualité
gekommen,est venu
Bei,à
etwa,sur
essen,repas
kleine,petit
jeder,tout le monde
Schwester,sœur
Wasser,l'eau
spielen,jouer
Geschichte,histoire
seinem,le sien
liegt,mensonges
sah,vu
Mom,Maman
Seite,côté
wenig,peu
ruhig,calmes
Frage,question
meinst,moyenne
überhaupt,du tout
fahren,conduire
Ganz,Tout
Gehen,Marche
Essen,repas
Ruhe,Calme
echt,réel
versucht,essais
Tochter,la fille
Kommt,Vient
Einen,UN
ging,est allé
Jahr,An
braucht,Besoins
fast,presque
neue,Nouveau
geh,marche
ziemlich,assez
anders,différent
siehst,voir
Polizei,police
Stunden,heures
musste,devait
Spiel,Jeu
gewesen,a été
gerne,volontier
finde,trouver
erzählt,Raconté
Tod,Décès
Ort,emplacement
Chance,chance
bedeutet,moyens
War,A été
sag,dire
sagst,dire
fragen,interroger
letzten,dernière
sogar,même
ersten,première
Sachen,Des choses
Wahrheit,vérité
einzige,seulement
kurz,court
denen,qui
Kommen,Viens
Spaß,amusement
Nach,À
oben,au dessus
Mama,Momie
schwer,difficile
Schule,école
je,déjà
eben,même
Gesicht,Visage
bestimmt,absolument
treffen,Rencontre
niemand,personne
Woche,La semaine
Entschuldigung,Pardon
Sorgen,Prendre soin de
warte,Attendez
natürlich,naturellement
schlecht,mal
große,Taille
getötet,tué
verstehen,comprendre
hoffe,espoir
Ah,Ah
Sei,Être
Zimmer,Chambre
hoch,haute
unserer,les notres
Tage,Journées
Teil,Partie
Wann,Lorsque
suchen,À la recherche de
verlassen,en quittant
zeigen,démontrer
wollten,voulait
lässt,feuilles
Wort,Mot
eins,une
zwischen,entre
Woher,D'où
Schatz,Trésor
Wissen,connaissances
versuchen,tenter
Können,Être capable
Kannst,Boîte
nett,gentil
Zu,à
kriegen,obtenir
Geht,Se rend
Arsch,cul
kleinen,petit
Hab,Ont
weiss,Blanc
erste,première
läuft,courses
kommst,viens
Freundin,petite amie
Mensch,la personne
beiden,tous les deux
Ding,chose
niemals,Certainement pas
endlich,enfin
Nimm,prendre
muß,aller à
gehst,en marchant
Heute,aujourd'hui
denkst,en pensant
Herz,cœur
Waffe,arme
Soll,Devrait
tust,taster
Dollar,dollar
nehme,prendre
Schau,Afficher
holen,aller chercher
oft,souvent
drauf,dessus
anderes,autre
Niemand,Personne
unten,dessous
Wagen,Auto
Yeah,Ouais
Schön,Agréable
wichtig,important
Mrs,MADAME
hättest,aurait
allen,tout
Miss,Manquer
ihrer,de leur
gedacht,pensait
Nummer,Numéro
würdest,aurait
erzählen,raconter
bleibt,restes
Auch,Aussi
Hände,mains
Blut,du sang
Sehen,Voir
bloß,juste
recht,Droit
bringt,apporte
Bett,lit
Lassen,Laisser
Eltern,Parents
gefällt,fait plaisir
Schuld,défaut
eure,ton
Plan,planifier
Krieg,Guerre
neuen,Nouveau
Klar,Dégager
retten,sauvetage
guter,des biens
während,tandis que
ihrem,la sienne
wären,être
Fehler,erreur
scheint,semble
Lasst,Feuilles
gegeben,donné
An,Sur
hör,écoute
glücklich,heureux
verdammt,Bon sang
alt,Agé de
Platz,place
darum,Donc
Vielen,De nombreux
falsch,Pas correcte
unseren,les notres
schlafen,dormir
Sagen,Dire
nächsten,Suivant
fünf,cinq
frei,libre
Sorge,Des soucis
Vor,avant de
fest,Fête
bereits,déjà
alleine,seul
Denn,Alors
Zwei,Deux
Fragen,Des questions
möglich,possible
irgendwie,en quelque sorte
Papa,père
lernen,apprendre
gestern,hier
hierher,ici
Schiff,Bateau
vier,quatre
irgendwas,n'importe quoi
Stimmt,Est correct
Menge,Foule
keiner,rien
brauchst,Besoins
Typen,Mec
Dass,Ce
Stunde,Heure
Szene,scène
Hölle,enfer
einige,quelques
Deshalb,C'est pourquoi
geworden,devenir
Telefon,téléphoner
Darf,Peut
Feuer,Feu
Wollen,Vouloir
Bin,Un m
Alter,âge
Captain,Capitaine
Aus,Hors de
Dieses,Cette
Probleme,Problèmes
Jeder,Tout le monde
verstanden,bien reçu
wann,lorsque
alten,Agé de
gibt's,Y a-t-il
sondern,mais
guten,bien
zwar,C'est
eigenen,posséder
New,Nouveau
Körper,Corps
hört,écouter
Zum,Au
gebe,cadeau
Kumpel,Mec
Hund,chien
nochmal,encore une fois
hab's,j'ai compris
früh,tôt
Hören,Ecoutez
trinken,boisson
besten,meilleur
meines,mien
schaffen,créer
alte,Agé de
Luft,Air
Jemand,Quelqu'un
dürfen,autorisé à
Meister,Maître
Erde,Terre
Seit,Depuis
Sicher,Sécurisé
Hört,Écouter
Zukunft,avenir
kaum,à peine
funktioniert,travaille
voll,plein
Bleib,Rester
reicht,suffisant
weh,endolori
stellen,place
Siehst,Voir
kleiner,plus petit
großen,énorme
Waffen,armes
Büro,Bureau
Wahl,choix
verlieren,perdre
Wochen,Semaines
Damit,Pour
Stück,pièce
lieben,aimer
allem,tout
getroffen,rencontré
äh,ah
Am,Au
geschafft,fabriqué
tue,fais
gefallen,favoriser
Tja,Bien
Boss,chef
überall,partout
Sieht,Voir
passieren,se produire
lustig,amusement
Licht,lumière
gebracht,amené
nennen,nommer
Folge,Conséquence
Gefühl,sentiment
völlig,pleinement
denkt,pense
Schlüssel,clé
drüben,là bas
Richtig,Droit
wieso,comment venir
Leuten,Personnes
Buch,Un livre
laufen,courir
spielt,pièces
früher,précédemment
Sein,étant
krank,Malade
gegangen,disparu
fand,trouvé
Seine,Le sien
Pass,passeport
fühle,se sentir
Himmel,paradis
froh,joyeux
leicht,facile
direkt,direct
langsam,lent
wolltest,recherché
erinnern,rappeler
zuerst,première
Krankenhaus,hôpital
Viel,Beaucoup de
beste,meilleur
welche,Qui
genommen,pris
Arzt,médecin
unserem,les notres
Idiot,idiot
Machen,"Faire, construire"
glaubst,croire
jede,tous
Ohne,Sans pour autant
groß,gros
hattest,détester
Äh,Ah
Jungen,Garçons
Rest,le repos
Unsere,Notre
versuche,essais
Tagen,Journées
nächste,Suivant
Entschuldigen,S'excuser
Doktor,docteur
spricht,parler
könnt,boîte
hält,cale
Team,équipe
Verstanden,bien reçu
kämpfen,bataille
heiraten,marier
könntest,force
Wow,Ouah
Etwas,Quelques
Straße,Rue
Mist,Condamner
König,Roi
redest,parole
kleines,petit
lebt,des vies
erklären,expliquer
worden,disparu
Millionen,des millions
Wiedersehen,Réunir
Onkel,oncle
kennst,connaître
sitzen,asseoir
dies,cette
weniger,moins de
Kaffee,Café
ernst,sérieuse
wollt,vouloir
tragen,usure
Zeug,Des choses
trotzdem,Néanmoins
Ihren,Leur
kaufen,acheter
Liste,liste
ändern,monnaie
Kampf,Bataille
hasse,détester
Person,la personne
Mund,bouche
umbringen,tuer
Präsident,Président
Boden,sol
Wohin,Où
machte,fabriqué
Party,faire la fête
gefragt,a demandé
Seht,Voir
irgendwo,quelque part
kümmern,Prendre soin de
kennt,sache
verletzt,blesser
Habt,Ont
Nachricht,nouvelles
Willkommen,Accueillir
vielen,de nombreux
hart,dur
lasse,laisser
total,total
Gefängnis,prison
außer,à l'exception
Sicherheit,Sécurité
Schnell,Rapidement
wem,qui
ehrlich,honnête
interessiert,Intéressé
Sex,sexe
sagten,a dit
ziehen,dessiner
Welche,qui
Unser,Notre
Augenblick,moment
angerufen,appelé
aufhören,arrêt
Klasse,classer
Bild,image
stark,fort
Dies,Cette
Eure,Ton
zehn,Dix
Sinn,sens
vorstellen,introduire
Traum,Rêver
länger,plus long
manchmal,quelquefois
anrufen,appeler
sechs,six
Arschloch,Connard
sollst,complet
gestorben,décédés
Tages,Jour
war's,Était-ce
verschwinden,disparaître
Kraft,Puissance
gesprochen,parlé
heraus,en dehors d'ici
genauso,juste comme ça
wärst,être
Eins,une
damals,à l'époque
heißen,moyenne
Liebling,chérie
wahrscheinlich,Probablement
deshalb,pour cette raison
Stelle,Emploi
halt,arrêt
erwartet,attendu
solche,tel
meisten,plus
bringe,apporter
still,calme
umgebracht,tué
Stimme,Voix
General,général
Geben,Donner
Entschuldige,pardon
Vergiss,Oublieux
rede,parole
führen,mener
Bewegung,mouvement
höre,Ecoutez
Sonst,Autrement
Geschäft,Entreprise
werdet,devenir
konnten,pourrait
wartet,attendre
Raus,Dehors